BAD: bad
HIP: alone
HIR: here
HIS: himself
HIT: hit
HIV: explain
HIZ: card
HOB: fast
HOD: hold
HOF: off
HOG: feed
HOH: oh
HOJ: few
HOK: field
HOL: hole
HOM: home
HON: certainly
HOP: hope
HOR: hour
HOS: imagine
HOT: hot
HOV: fly
HOZ: finish
HUB: check
HUD: first
HUF: fish
HUG: choice
HUH: child
HUJ: huge
HUK: flash
HUL: flat
HUM: human
HUN: hundred
HUP: up
HUR: her
HUS: follow
HUT: heat
HUV: of
HUZ: clothes
JAB: force
JAD: forehead
JAF: forest
JAG: forever
JAH: forget
JAJ: form
JAK: forward
JAL: four
JAM: free
JAN: fresh
JAP: friend
JAR: continue
JAS: front
JAT: jacket
JAV: consider
JAZ: control
JIB: funny
JID: future
JIF: crowd
JIG: garden
JIH: careful
JIJ: gather
JIK: gently
JIL: disappear
JIM: different
JIN: girl
JIP: discover
JIR: glance
JIS: glass
JIT: doorway
JIV: doctor
JIZ: gold
JOB: job
JOD: grab
JOF: grandfather
JOG: grandmother
JOH: grass
JOJ: gray
JOK: joke
JOL: green
JOM: ground
JON: group
JOP: grow
JOR: guard
JOS: guess
JOT: eat
JOV: guy
JOZ: hardly
JUB: half
JUD: especially
JUF: hallway
JUG: hand
JUH: hang
JUJ: happen
JUK: happy
JUL: hard
JUM: jump
JUN: everyone
JUP: everything
JUR: special
JUS: just
JUT: every
JUV: heart
JUZ: color
KAB: heavy
KAD: hell
KAF: hello
KAG: help
KAH: corner
KAJ: fail
KAK: herself
KAL: call
KAM: camera
KAN: can
KAP: expression
KAR: car
KAS: case
KAT: cat
KAV: history
KAZ: familiar
KIB: father
KID: kid
KIF: interest
KIG: final
KIH: key
KIJ: hospital
KIK: kick
KIL: kill
KIM: finally
KIN: house
KIP: how
KIR: care
KIS: kiss
KIT: flight
KIV: floor
KIZ: hurry
KOB: hurt
KOD: cold
KOF: confuse
KOG: ice
KOH: idea
KOJ: if
KOK: ignore
KOL: image
KOM: calm
KON: immediately
KOP: cop
KOR: fact
KOS: information
KOT: coat
KOV: instead
KOZ: cause
KUB: into
KUD: it
KUF: itself
KUG: I
KUH: brother
KUJ: join
KUK: great
KUL: cool
KUM: come
KUN: keep
KUP: cup
KUR: fine
KUS: fight
KUT: cut
KUV: cover
KUZ: chest
LAB: kitchen
LAD: knee
LAF: laugh
LAG: knock
LAH: law
LAJ: lady
LAK: know
LAL: language
LAM: large
LAN: land
LAP: later
LAR: knife
LAS: last
LAT: leaf
LAV: learn
LAZ: lay
LIB: lean
LID: lead
LIF: life
LIG: leg
LIH: less
LIJ: let
LIK: like
LIL: little
LIM: leave
LIN: line
LIP: lip
LIR: letter
LIS: listen
LIT: light
LIV: lift
LIZ: lie
LOB: local
LOD: loud
LOF: long
LOG: look
LOH: metal
LOJ: nearly
LOK: lock
LOL: message
LOM: low
LON: may
LOP: lunch
LOR: machine
LOS: main
LOT: lot
LOV: month
LOZ: manage
LUB: many
LUD: office
LUF: mark
LUG: marriage
LUH: marry
LUJ: matter
LUK: lucky
LUL: maybe
LUM: me
LUN: mean
LUP: meet
LUR: member
LUS: memory
LUT: mention
LUV: love
LUZ: lose
MAB: north
MAD: might
MAF: mind
MAG: our
MAH: minute
MAJ: mirror
MAK: make
MAL: climb
MAM: money
MAN: man
MAP: map
MAR: plate
MAS: morning
MAT: most
MAV: mostly
MAZ: mother
MIB: mountain
MID: middle
MIF: old
MIG: movie
MIH: much
MIJ: music
MIK: feel
MIL: number
MIM: myself
MIN: mine
MIP: narrow
MIR: soon
MIS: miss
MIT: with
MIV: quiet
MIZ: neighbor
MOB: never
MOD: new
MOF: pretty
MOG: next
MOH: nice
MOJ: people
MOK: picture
MOL: nobody
MOM: moment
MON: noise
MOP: prepare
MOR: more
MOS: normal
MOT: mouth
MOV: point
MOZ: please
MUB: note
MUD: nothing
MUF: notice
MUG: now
MUH: my
MUJ: nurse
MUK: fear
MUL: chance
MUM: offer
MUN: moon
MUP: officer
MUR: often
MUS: must
MUT: okay
MUV: move
MUZ: quite
NAB: once
NAD: one
NAF: only
NAG: onto
NAH: open
NAJ: or
NAK: order
NAL: other
NAM: name
NAN: out
NAP: outside
NAR: over
NAS: own
NAT: quick
NAV: pain
NAZ: paint
NIB: pair
NID: need
NIF: palm
NIG: pants
NIH: paper
NIJ: parent
NIK: part
NIL: party
NIM: raise
NIN: past
NIP: rather
NIR: near
NIS: pay
NIT: night
NIV: perfect
NIZ: perhaps
NOB: personal
NOD: nod
NOF: photo
NOG: recognize
NOH: no
NOJ: piece
NOK: still
NOL: pink
NOM: bite
NON: on
NOP: plastic
NOR: nor
NOS: play
NOT: not
NOV: pocket
NOZ: nose
NUB: police
NUD: slide
NUF: enough
NUG: crazy
NUH: porch
NUJ: position
NUK: possible
NUL: pour
NUM: power
NUN: none
NUP: press
NUR: pretend
NUS: news
NUT: probably
NUV: problem
NUZ: promise
PAB: prove
PAD: stick
PAF: screen
PAG: sea
PAH: question
PAJ: page
PAK: quickly
PAL: pale
PAM: quietly
PAN: plan
PAP: radio
PAR: rain
PAS: pass
PAT: path
PAV: reach
PAZ: read
PIB: ready
PID: stupid
PIF: realize
PIG: really
PIH: reason
PIJ: receive
PIK: pick
PIL: pile
PIM: refuse
PIN: remain
PIP: remember
PIR: remind
PIS: remove
PIT: repeat
PIV: reply
PIZ: rest
POB: return
POD: reveal
POF: rich
POG: shape
POH: right
POJ: ring
POK: shout
POL: shoulder
POM: road
PON: station
POP: pop
POR: poor
POS: skin
POT: round
POV: shut
POZ: pause
PUB: sky
PUD: pool
PUF: small
PUG: smell
PUH: shit
PUJ: softly
PUK: something
PUL: pull
PUM: scared
PUN: scene
PUP: school
PUR: scream
PUS: push
PUT: put
PUV: search
PUZ: seat
RAB: second
RAD: red
RAF: south
RAG: sell
RAH: send
RAJ: sense
RAK: bear
RAL: seriously
RAM: serve
RAN: service
RAP: set
RAR: settle
RAS: seven
RAT: several
RAV: sex
RAZ: shadow
RIB: shake
RID: ride
RIF: share
RIG: sharp
RIH: she
RIJ: sheet
RIK: ship
RIL: real
RIM: shirt
RIN: shoe
RIP: shoot
RIR: shop
RIS: short
RIT: should
RIV: river
RIZ: rise
ROB: steal
ROD: show
ROF: shower
ROG: shrug
ROH: row
ROJ: soul
ROK: rock
ROL: roll
ROM: sight
RON: space
ROP: silence
ROR: silent
ROS: silver
ROT: simple
ROV: simply
ROZ: since
RUB: rub
RUD: single
RUF: roof
RUG: spend
RUH: spin
RUJ: situation
RUK: six
RUL: sometimes
RUM: room
RUN: run
RUP: slam
RUR: sleep
RUS: rush
RUT: slightly
RUV: slip
RUZ: slow
SAB: slowly
SAD: sad
SAF: safe
SAG: smile
SAH: smoke
SAJ: snap
SAK: snow
SAL: stand
SAM: same
SAN: sand
SAP: soldier
SAR: star
SAS: somehow
SAT: someone
SAV: save
SAZ: say
SIB: somewhere
SID: side
SIF: stair
SIG: sing
SIH: see
SIJ: sort
SIK: sick
SIL: sound
SIM: seem
SIN: sign
SIP: speak
SIR: sir
SIS: sister
SIT: sit
SIV: spirit
SIZ: size
SOB: spread
SOD: spring
SOF: soft
SOG: song
SOH: so
SOJ: somebody
SOK: stare
SOL: start
SOM: state
SON: son
SOP: stop
SOR: sorry
SOS: step
SOT: spot
SOV: shove
SOZ: stomach
SUB: stone
SUD: stay
SUF: stuff
SUG: storm
SUH: story
SUJ: straight
SUK: strange
SUL: street
SUM: stretch
SUN: sun
SUP: strong
SUR: sure
SUS: study
SUT: store
SUV: stage
SUZ: such
TAB: suddenly
TAD: suggest
TAF: suit
TAG: summer
TAH: tie
TAJ: suppose
TAK: take
TAL: tall
TAM: team
TAN: than
TAP: swing
TAR: tear
TAS: table
TAT: bed
TAV: tell
TAZ: surface
TIB: student
TID: teach
TIF: teacher
TIG: surprise
TIH: tea
TIJ: terrible
TIK: think
TIL: until
TIM: time
TIN: thin
TIP: thank
TIR: tire
TIS: add
TIT: their
TIV: television
TIZ: themselves
TOB: then
TOD: there
TOF: these
TOG: bend
TOH: sweet
TOJ: thing
TOK: talk
TOL: third
TOM: thirty
TON: tone
TOP: top
TOR: answer
TOS: toss
TOT: throat
TOV: through
TOZ: throw
TUB: strike
TUD: beside
TUF: tiny
TUG: system
TUH: to
TUJ: today
TUK: together
TUL: beyond
TUM: tomorrow
TUN: tongue
TUP: tonight
TUR: too
TUS: tooth
TUT: those
TUV: three
TUZ: touch
VAB: toward
VAD: town
VAF: track
VAG: train
VAH: travel
VAJ: tree
VAK: wake
VAL: trouble
VAM: truck
VAN: true
VAP: trust
VAR: truth
VAS: try
VAT: turn
VAV: twenty
VAZ: twice
VIB: anywhere
VID: uncle
VIF: under
VIG: understand
VIH: unless
VIJ: ten
VIK: flower
VIL: village
VIM: use
VIN: usual
VIP: usually
VIR: very
VIS: view
VIT: upon
VIV: visit
VIZ: voice
VOB: wait
VOD: word
VOF: walk
VOG: wall
VOH: want
VOJ: war
VOK: warm
VOL: wash
VOM: watch
VON: water
VOP: wave
VOR: way
VOS: we
VOT: wear
VOV: wedding
VOZ: week
VUB: weight
VUD: well
VUF: west
VUG: wet
VUH: what
VUJ: whatever
VUK: wheel
VUL: when
VUM: where
VUN: whether
VUP: which
VUR: while
VUS: whisper
VUT: white
VUV: who
VUZ: whole
ZAB: whom
ZAD: whose
ZAF: why
ZAG: wide
ZAH: wife
ZAJ: wild
ZAK: will
ZAL: win
ZAM: wind
ZAN: window
ZAP: wine
ZAR: wing
ZAS: winter
ZAT: wipe
ZAV: wish
ZAZ: neck
ZIB: within
ZID: without
ZIF: woman
ZIG: wonder
ZIH: wood
ZIJ: wooden
ZIK: trip
ZIL: work
ZIM: world
ZIN: worry
ZIP: would
ZIR: wrap
ZIS: write
ZIT: wrong
ZIV: yard
ZIZ: yeah
ZOB: year
ZOD: yell
ZOF: yellow
ZOG: yes
ZOH: yet
ZOJ: you
ZOK: young
ZOL: your
ZOM: yourself
